District,Street,Area (m²),Price,Price/m²,Lower price,Number of rooms,Floor,Floors,Built year,Renovation year,Renovation,Building type,Heating type,Refurbishment,Features,Extra parts,Extra stuff,Security,Description,URL,City
Šeškinėje,Dūkštų ,24,120,5,FALSE,3,4,5,1980,0,FALSE,Blokinis,Centrinis,Įrengtas,Tualetas ir vonia atskirai,Balkonas,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, vonia","Šarvuotos durys, kodinė laiptinės spyna","Išnuomojamas vienas kambarys, trijų kambarių bute, Šeškinėje, Dūkštų g. Kambarys yra su balkonu, tvarkingas, šiltas, šviesus (langai pietų kryptimi) Kambaryje yra lova, spinta, rašomasis stalas.  Butas labai šiltas ir žiemos metu - šalti tikrai neteks. Jokio pelėsio ar nemalonių kvapų - butas tikrai švarus ir tvarkingas. Namas atokiau nuo gatvių, ramu tylu.  300-400 metrų spinduliu yra net 5 prekybos centrai. Tokiu pat atstumu yra ir kelios viešojo transporto stotelės, todėl susisiekimas tikrai nekels rūpesčių. Kambarys išnuomojamas įskaičiuojant VISAS komunalines išlaidas (elektra, vanduo, šildymas), t.y. nieko papildomai mokėti nereikia.  Kambario nuomos kaina 120€/mėn. (ir jokių papildomų mokesčių) Savininkės pageidaujamas nuomininkas: mergina ar moteris. Apie savininkę: maloni, tvarkinga, nepriekabi vyresnio amžiaus moteris. Jei sąlygos tiks - tarp nuomininko ir nuomotojo bus pasirašoma nuomos sutartis ir imamas simboliškas agentūros mokestis.        ",http://www.aruodas.lt/butu-nuoma-vilniuje-seskineje-dukstu-g-isnuomojami-du-kambariai-triju-kambariu-bute-4-839485/,Vilnius
Senamiestyje,Gėlių ,66,550,8.33,TRUE,2,1,2,1940,2010,TRUE,Mūrinis,Dujinis,Įrengtas,"Atskiras įėjimas, aukštos lubos, uždaras kiemas, internetas",,"Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, viryklė","Šarvuotos durys, signalizacija",Išnuomojamas dviejų kambarių butas Vilniaus centre nuo rugsėjo 8 dienos.  Be tarpininkų.,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-geliu-g-isnuomojamas-dvieju-kambariu-butas-vilniaus-4-839409/,Vilnius
Žirmūnuose,Olimpiečių ,98,2200,22.45,FALSE,3,3,4,2018,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Nauja kanalizacija, kabelinė televizija, virtuvė sujungta su kambariu","Sandėliukas, balkonas, terasa, rūsys, vieta automobiliui","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, indaplovė, dušo kabina, vonia","Šarvuotos durys, kodinė laiptinės spyna","Prabangus ""Pilies apartamentų"" butas Vilniaus širdyje su vaizdu į Gedimino pilį. Jūs būsite pirmieji buto gyventojai! Butas įrengtas itin brangiai ir kokybiškai. A energetinė klasė. Yra du vonios kambariai: viename yra vonia, kitame-dušas. 1 erdvus miegamasis, 1 darbo/vaiko kambarys, erdvi svetainė su virtuve ir valgomuoju, iš kurio atsiveria unikali miesto panorama. Bendras buto plotas 98 kvm., balkono plotas 9 kvm. Balkonas yra įstiklintas, yra lauko baldai. Bute įdiegta moderni virtuvės technika, yra viskas, ko reikia gyvenimui: stalo įrankiai, didelis šaldytuvas, puodai, rankšluosčiai ir kita. Yra skalbimo mašina, džiovyklė, indaplovė. Butui priklauso 1 vieta požeminiame garaže, dviračių saugykla (sandeliukas). Nekilnojamo turto brokeriai nedomina.        ",http://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-olimpieciu-g-prabangus-pilies-apartamentu-butas-vilniaus-4-833801/,Vilnius
Naujamiestyje,A. Vivulskio ,32,440,13.75,TRUE,2,4,5,1965,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Nauja kanalizacija, nauja elektros instaliacija",,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, vonia","Šarvuotos durys, kodinė laiptinės spyna","NUOMOJAMAS LABAI JAUKUS, NAUJAI SUREMONTUOTAS SU VISA NAUJA BUITINE ĮRANGA IR NAUJAIS BALDAIS 2 kambarių butas Vilniuje A.Vivulskio g. 10a, tylioje bei ramioje vietoje tarp Algirdo bei Švitrigailos gatvių, netoli Maximos parduotuvės esančios Mindaugo gatvėje. BUTAS TIKRAI LABAI TYLUS, Į VISUS OBJEKTUS MIESTO CENTRE GALIMA NUEITI PĖSTUTE IR PAMIRSTI MIESTO KAMSČIUS.PRIE NAMO PAKANKAMAI PARKINGO VIETU SKIRTŲ TIK NAMO GYVENTOJAMS.Būstas nuomojamas su visais NAUJAIS baldais bei buitine technika (kaitlentė, skalbimo mašina, šaldytuvu, gartraukiu, televizorium.BUTAS RENOVUOTAS, TODĖL LABAI MAŽI ŠILDYMO KAŠTAI.REGULIUOJAMI RADIATORIAI, (vidurkis šildymo sezono metu IKI 25 Eur / mėn.); Patogi infrastruktūra – aplink būstą gausu parduotuvių, restoranų, galerijų, puikus susisiekimas.  BUTAS NUOMOJAMA TIK ASMENIUI NELAIKYSIANČIAM GYVŪNŲ, BUTE NERŪKOMA.BUTAS NUOMOJAMAS BE TARPININKŲ.",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-a-vivulskio-g-nuomojamas-jaukus-ir-praktiskas-naujai-4-819293/,Vilnius
Bajoruose,Fizikų ,42,500,11.9,FALSE,1,9,9,2010,0,FALSE,Monolitinis,Centrinis kolektorinis,Įrengtas,"Nauja kanalizacija, nauja elektros instaliacija, internetas, kabelinė televizija, virtuvė sujungta su kambariu",Vieta automobiliui,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, vonia","Šarvuotos durys, kodinė laiptinės spyna","ISSNUOMOTA.Puikus butas su nepakartojamu Vilniaus vaizdu pro langus. Naujos statybos name, erdvus vieno kambario butas. Puikus susisiekimas su miesto centru, šalia Santaros klinikos..        ",http://www.aruodas.lt/butu-nuoma-vilniuje-bajoruose-fiziku-g-isnuomojamas-puikus-butas-su-nepakartojamu-4-818905/,Vilnius
Senamiestyje,Kaštonų ,100,1290,12.9,FALSE,3,4,6,2007,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Nauja kanalizacija, nauja elektros instaliacija, internetas, kabelinė televizija, virtuvė sujungta su kambariu","Balkonas, vieta automobiliui, drabužinė","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, indaplovė, dušo kabina, vonia","Šarvuotos durys, signalizacija, kodinė laiptinės spyna, videokameros, budintis sargas","Išnuomojamas puikiai įrengtas trijų kambarių, 100 kv. m. butas centre, 4-ame aukšte iš 6-ių, A. Jakšto g. 6a/Kaštonų g. 8, 2007 metų statybos name kartu su požemine parkavimo vieta automobiliui. Strategiškai itin patogi ir rami vieta pačiame centre, 300 metrų iki operos ir baleto teatro. Butas labai šviesus ir jaukus, patogaus išplanavimo. Centrinė-kolektorinė šildymo sistema su itin mažais išlaikymo kaštais. Nuomojamas su visais reikalingais baldais bei buitine technika. Virtuvė sujungta su svetaine, virtuvėje integruota kokybiška, itališka buitinė technika. Visame bute kokybiški itališki baldai surinkti pagal individualų architekto projektą. Itališki „murano“ stiklo šviestuvai. Du santechniniai mazgai su dušo kabinomis ir vonia viename iš jų. Šildomos grindys santechniniuose mazguose, virtuvės zonoje ir koridoriuose. Bute integruotos keturios erdvios spintos. Balkonas, tamsusis kambariukas. Butą galima prijungti prie individualios apsaugos sistemos. Požeminė automobilių stovėjimo aikštelė su dviem liftais ir vieta priklausanti butui. Gyva namo apsauga, visą parą namas stebimas kameromis. Jokių tarpininkavimo mokesčių, nuomoja savininkas. Agentūrų prašome netrukdyti ir negaišti savojo laiko. Exclusive 3 room apartment with parking place under the house for rent in Vilnius city centre A. Jakšto st. 6a/Kaštonų st. 8. Fourth floor from six, 100 sq. m. with all furniture and household appliances (Italian design). Central-colector heating with very low maintenance costs. Living room with kitchen, two bedrooms, two bathrooms, balcony. Very safe place to live, there is a lot of cameras all around the house. Parking place for a car is under the house with two elevators.",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-kastonu-g-isnuomojamas-puikiai-irengtas-triju-kambariu-4-833733/,Vilnius
Fabijoniškėse,Salomėjos Nėries ,56.37,400,7.1,FALSE,2,12,12,2006,0,FALSE,Monolitinis,Dujinis,Įrengtas,,,,,"Be tarpininkų ilgesniam laikui išnuomojamas šviesus dviejų kambarių butas su visais baldais ir buitine technika, paruoštas gyvenimui. Yra didelis tamsus kambarys, balkonas. Reguliuojamas dujinis šildymas, mažos šildymo išlaidos. Daugiaaukštėje aikštelėje (50 metrų nuo laiptinės) yra parkavimo vieta automobiliui. Butas niekada nebuvo nuomojamas. Gražus vaizdas pro langą, netoli prekybos centrai ""BIG"",""Lidl"", ""Maxima"", ""Norfa"". Pageidaujami nuomininkai be gyvūnų.",http://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-salomejos-neries-g-be-tarpininku-ilgesniam-laikui-isnuomojamas-4-839295/,Vilnius
Viršuliškėse,Laisvės p,36,270,7.5,TRUE,1,4,5,1994,0,FALSE,Blokinis,Centrinis,Įrengtas,"Tualetas ir vonia atskirai, nauja kanalizacija",Balkonas,"Skalbimo mašina, su baldais, virtuvės komplektas, viryklė, vonia","Šarvuotos durys, kodinė laiptinės spyna","Išnuomojamas nuo 2018-08-13d. Skambinti nuo 17:00 :).                         NĖRA TARPININKAVIMO MOKESČIO. Kaina derinama. Išnuomojamas butas strategiškai patogioje vietoje. Geras susisiekimas su Mykolo Romerio universitetu, taip pat Saulėtekiu. Artimiausia stotelė ""Rygos"" važiuoja autobusai (5g, 43, 73, 75, 46, 48, 55, 2g) troleibusai(16, 19) taip pat važiuoja ir naktiniai autobusai.  Parkavimas ir kieme ir šalia jo yra pilna vietos. Bute pakeistos rozetės, vandens maišytuvai, naujas unitazas, nauja grindų danga, naujos virtuvinės spintelės, naujas A++ klasės šaldytuvas, laiptinėje sudėti plastikiniai langai. Nuomos terminas min 12mėn. Užstatas 1mėn. nuomos kaina. ",http://www.aruodas.lt/butu-nuoma-vilniuje-virsuliskese-laisves-pr-isnuomojamas-nuo-2018-08-13d-4-839277/,Vilnius
Naujamiestyje,Algirdo ,42,450,10.71,FALSE,2,1,4,1965,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Nauja elektros instaliacija, uždaras kiemas, internetas, virtuvė sujungta su kambariu",Rūsys,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, dušo kabina","Šarvuotos durys, kodinė laiptinės spyna","REZERVUOTAS. Nuomojamas naujai įrengtas butas. Po remonto bute dar niekas negyveno. Supirkti nauji baldai ir buitinė technika. Butas labai geroje vietoje, Rotušę, Katedra ir Lukiškių aikštę pasieksit per 15 min. pėstute. Rakinamas kiemas kuriame visada rasite vietos automobiliui. Šalia visą parą veikianti maxima bei vaistinė.        ",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-algirdo-g-nuomojamas-naujai-irengtas-butas-po-remonto-4-839271/,Vilnius
Žvėryne,A. Mickevičiaus ,78,500,6.41,TRUE,2,1,3,1954,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Aukštos lubos, nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, internetas, virtuvė sujungta su kambariu","Sandėliukas, vieta automobiliui, drabužinė","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, vonia","Šarvuotos durys, kodinė laiptinės spyna","Nuomojamas gerai įrengtas 78 m2 butas su virtuvės baldais ir buitine technika. Butas labai ramus, su savo jaukia, kaip namo taip ir buto dvasia. Išskirtiniai interjero sprendimai. Butas aukštu (3.8 m.) lubų. Uždaras ir saugus kiemas su vieta automobiliui.Yra galimybe ivezti  ir savo baldus derinti inerjera.",http://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-a-mickeviciaus-g-nuomojamas-gerai-irengtas-78-m2-butas-su-4-833663/,Vilnius
Šeškinėje,Fabijoniškių ,50,550,11,FALSE,2,3,7,2017,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Aukštos lubos, nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, internetas, kabelinė televizija, virtuvė sujungta su kambariu","Balkonas, vieta automobiliui, drabužinė","Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, indaplovė, vonia","Šarvuotos durys, kodinė laiptinės spyna, videokameros","Nuo rugsėjo 1-os išnuomojamas puikiai įrengtas butas naujai pastatytame name puikioje miesto vietoje su itin patogiu susisiekimu. Išskirtinė įrengimo ir medžiagų kokybė. Bute visi darbai atlikti itin kokybiškai iki smulkmenų. Nuotraukos atitinka realų vaizdą. „LightHouse III“ namai išsiskiria ne tik moderniais techniniais sprendimais, bet ir unikaliu sprendimu – žaliuojančiomis terasomis ant stogų, kuriomis galės naudotis visi naujakuriai. Kiekviename bute įrengta protingų namų sistema, suteikianti galimybę stebėti ir analizuoti automatiškai nuskaitytus skaitiklių duomenis. Saugumą užtikrina uždara teritorija, stebima IP kamerų, įrengtos telefonspynės prie kiemo vartelių ir kiekvienos laiptinės. Požeminė automobilio stovėjimo aikštelė +40 eur.        ",http://www.aruodas.lt/butu-nuoma-vilniuje-seskineje-fabijoniskiu-g-isnuomojamas-iki-siol-negyventas-butas-naujai-4-794853/,Vilnius
Žirmūnuose,Tuskulėnų ,32,320,10,FALSE,1,4,5,1967,0,FALSE,Blokinis,Centrinis,Įrengtas,,,,,"Nuomojamas vieno kambario butas Tuskulenu gatveje, prie IKI-MINSKAS parduotuves. Labai patogi lokacija, ki Katedros 15min pesciomis. Butas naujai suremontuotas, su didziule drabuziu spinta koridoriuje. Virtuve su integruota virykle ir saldytuvu. Mazi komunaliniai ir sildymo mokesciai. Butas galetu butu laisvas nuo rugpjucio 29 dienos. Siuo metu atostogaujame, todel apziureti galima butu nuo rugpjucio 19d.         ",http://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-tuskulenu-g-nuomojamas-vieno-kambario-butas-tuskulenu-4-839231/,Vilnius
Senamiestyje,Pylimo ,45,200,4.44,FALSE,1,1,2,1905,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,"Išnuomojamas is dalies pereinamas, sirma atskirtas, jaukus ir patogus kambarys 2 kambarių bute.- puiki vieta - Senamiestis, Pylimo g., šalia Sinagogos.- nedideli komunaliniai mokesčiai- visi baldai ir buitinė technika- sandėliukas- vieta automobiliui vidiniame namo kieme- nuomojamas be tarpininkų. Jokių tarpininkavimo mokesčių!Kambarys nuomojamas TIK MERGINAI! Laisvas nuo RUGSEJO 1 D.Kitame kambaryje gyvena dirbanti mergina.Kaina: 200 Eur.+37065968491         ",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-pylimo-g-isnuomojamas-nepereinamas-jaukus-ir-patogus-4-656321/,Vilnius
Pilaitėje,I. Simonaitytės ,28,340,12.14,FALSE,1,1,5,2009,0,FALSE,Mūrinis,Elektra,Įrengtas,"Atskiras įėjimas, internetas, kabelinė televizija, virtuvė sujungta su kambariu",Drabužinė,"Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, plastikiniai vamzdžiai, dušo kabina","Šarvuotos durys, signalizacija","Išnuomojamas modernus, nestandartinis butas Pilaitėje, I.Simonaitytės gatvėje, naujos statybos name. Butas įrengtas pagal išskirtinį interjero dizaino projektą – funkcionaliai suplanuotos erdvės, apšvietimas, baldai, interjero detalės. Bute sumontuota brangi, aukštos kokybės technika. Yra erdvi drabužinė.  Be tarpininkų.        ",http://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-i-simonaitytes-g-isnuomojamas-modernus-nestandartinis-butas-4-660203/,Vilnius
Senamiestyje,Z. Sierakausko ,75,830,11.07,FALSE,2,2,4,2001,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,"Išnuomojamas ERDVUS, PUIKIAI ĮRENGTAS dviejų kambarių butas SU PARKAVIMO VIETA požeminio parkavimo aikštelėje,  PRESTIŽINĖJE VIETOJE - šalia VINGIO PARKO - tik 10 min. pėsčiomis IKI SENAMIESČIO! Galima nuoma ir trumpesniam laikotarpiui - 6 MĖNESIAMS! PARKAVIMO VIETA - vienam automobiliui (požeminis ""boksas"") - UŽ PAPILDOMĄ 70EUR kainą.  VIETA MIESTE Puikus rajonas - fantastiškai arti Vingio parko ir pėsčiomis pasiekiamas senamiestis. Aplink jaukus ir turintis šarmą privačių namų kvartalas, kur daugiausia mėgsta kurtis inteligentijos atstovai. Čia įsikūrusios Japonijos, Latvijos ir Vokietijos ambasados. Visai greta - Vilniaus miesto centras. Ramūs žali kiemai. Čiurlionio g. yra gera vieta gyventi, kurti, auginti vaikus arba ramiai ilsėtis. Šita vieta turi savo tikrą dvasią, kur galima visa siela pajusti jaukią ir ramią aplinką. PAGRINDINIAI ŠIO BŪSTO PRIVALUMAI: - PRESTIŽINĖ VIETA; - LABAI SAUGI APLINKA (rakinama laiptinė, ramūs, inteligentiški kaimynai); - MŪRINIS NAUJESNĖS STATYBOS NAMAS, EKONOMIŠKAS ŠILDYMAS (centrinis šildymas, bet sąskaitos nedidelės, nes namas apšiltintas); ; - MIEGAMOJO LANGAI ŽVELGIA Į RAMŲ VIDINĮ KIEMĄ; - ŠVIESUS IR ŠILTAS (Saulė nuo ryto iki vakaro dėl palankios langų orientacijos - pietryčiai ir šiaurės vakarai); - SKONINGAI BEI PRABANGIAI ĮRENGTAS -  SU VISAIS ŠIUOLAIKINIAM GYVENIMO BŪDUI PRIVALOMAIS PATOGUMAIS; BENDRA INFORMACIJA APIE ERDVES: - Svetainė su virtuve ir valgomuoju; - miegamasis; - San mazgas - vonia su dušu, wc; - Koridorius; - Tamsus kambariukas prie virtuvės. Dėl apžiūros skambinti galite ir savaitgaliais tel.8-687-22422/Eglė        ",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-z-sierakausko-g-isnuomojamas-erdvus-puikiai-irengtas-dvieju-4-833419/,Vilnius
Santariškėse,Santariškių ,109,850,7.8,FALSE,5,1,3,2012,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,"Išnuomojamas. Šviesus ir šiltas 5 kambarių butas Santariškėse.ĮRENGIMAS. Butas šviesus ir šiltas - buto langai į rytus ir vakarus. Labai patogus buto išplanavimas, virtuvė su svetaine, trys izoliuoti miegamieji, du vonios kambariai, drabužinė su skalbimo mašina ir džiovykle. Grindys: ažuolo parketlentės, voniose – plytelės, sienos dažytos. Yra tamsus kambarys, dvi terasos, vidaus durys iš natūralaus medžio, lauko šarvuotos durys, ant visų langų apsauginės žaliuzės, signalizacija. Namo teritorija ir įėjimai stebimi vaizdo kameromis.VIRTUVĖ: Itin didelėje sieninėje spintoje įmontuoti: šaldytuvas (180 cm) su nuline zona, šaldiklis (180 cm), XL dydžio indaplovė, daug vietos daiktams. Kaitlentė ir orkaitėje - „saloje“. Valgomasis stalas atskiriamas nuo virtuvės.NAMAS. Namas mūrinis, rakinama tvarkinga laiptinė su domofonu. Kaimynystėje gyvena jaunos ir vyresnio amžiaus šeimos.VIETA. Butas ramiame rajone apsuptame Verkių parko. Iki PC „IKI“ 5 min. pėsčiomis. Šalia „valstybinis“ Santariškių ir modulinis vaikų darželiai. Puikus susisiekimas su miesto centru, iki greitojo autobuso 3 min.Du įėjimai į butą. Vienas - nuo bendros laiptinės atskirtas papildomomis durimis ir prieškambariu su dar vienais kaimynais. Sudaro tiek garso, tiek ir temperatūros užtvarą nuo laiptinės. Kitas atskiras iš lauko, per koridoriuką su dviem kaimynais, tiesiai į sandėliuką, labai patogu turint dviračius.        ",http://www.aruodas.lt/butu-nuoma-vilniuje-santariskese-santariskiu-g-sviesus-ir-siltas-5-kambariu-butas-4-833341/,Vilnius
Baltupiuose,Didlaukio ,60,360,6,FALSE,2,1,1,1982,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Atskiras įėjimas, aukštos lubos",,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, dušo kabina",Šarvuotos durys,"Išnuomojamas vienas kambarys dviejų kambarių bute. Kiekvienam kambariui atskiras dusas ir WC. Bendra virtuve. Didelis pereinamas holas. Bute yra visa reikalinga buitinė technika, virtuvės įrankiai, baldai. Bute yra dvi skalbimo mašinos. Visi patogumai. Butas įrengtas pirmame daugiabučio aukšte.Imamas 2 mėnesių užstatas.  Didlaukio g. Baltupiuose, Vilniuje: - Butas katik po remonto.  - Plotas - 60 kv.m - Atskiras įėjimas iš lauko.  - 2 atskiri vonios kambariai ir WC, 1 virtuvė.  INFRASTRUKTŪRA: - Iki Gedimino prospekto ~7,5km. - 300 metrų iki Mykolo Romerio Universiteto Teisės fakulteto, - 450 metrų iki Vilniaus kolegija, Verslo vadybos fakulteto, - 700 metrų iki Vilniaus kolegija, Sveikatos priežiūros fakulteto ir VU Matematikos ir informatikos fakulteto, - 750 metrų iki Vilniaus kolegija, Menų ir kūrybinių technologijų fakulteto ir Vilniaus paslaugų verslo darbuotojų profesinio rengimo centro. - ~1,4 km iki Vilniaus Baltupių progimnazijos, ir darželių. - 300 metrų iki viešojo transporto stotelės ir 850 metrų iki artimiausio prekybos centro. Kontaktinis telefonas: +37061067464        ",http://www.aruodas.lt/butu-nuoma-vilniuje-baltupiuose-didlaukio-g-isnuomojamas-vienas-kambarys-dvieju-kambariu-4-839151/,Vilnius
Naujamiestyje,Mindaugo ,24,450,18.75,FALSE,1,2,6,2017,0,FALSE,Mūrinis,Geoterminis,Įrengtas,,,,,"Naujos statybos name naujai irengta studija centre. Salia Rusu dramos teatro. Pilnas irengimas, patogus isplanavimas, daug uzdaru spintu daiktams. Erdvus balkonas. Isnuomojama tvarkingam gyventojui nuo rugsejo men. Nuomojama be parkavimo vietos garaze, miesto parkavimas salia namo geltonoje zonoje,  apie 60€/me, kam aktualu.Kaina be mokesciu. Ziema sildymas ape 20-30€/men.        ",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-mindaugo-g-naujos-statybos-name-naujai-irengta-studija-4-839119/,Vilnius
Senamiestyje,A. Domaševičiaus ,85.09,700,8.23,FALSE,3,4,4,1940,0,FALSE,Mūrinis,"Centrinis, elektra",Įrengtas,,,,,"Kokybiškai, pilnai įrengtas jaukus butas per 2 aukštus su balkonu. Svetainė sujungta su valgomuoju, virtuvė atskirta stikline pertvara. Yra 2 miegamieji kambariai: vienas pirmama aukšte, kitas- palėpėjė. Butas įrangtas kokybiškomis medžiagomis. Butas pačiame miesto centre, puikus susisiekimas su kitais mikrorajonais. Draugiški, ramūs kaimynai. Yra visa reikalinga buitinė technika (integruotos indaplovė bei orkaitė, skalbimo mašina), indai, patalynė.         ",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-a-domaseviciaus-g-kokybiskai-pilnai-irengtas-jaukus-butas-per-4-729963/,Vilnius
Karoliniškėse,Algimanto Petro Kavoliuko ,46,420,9.13,FALSE,2,8,9,2008,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,"Balkonas, vieta automobiliui","Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, indaplovė","Šarvuotos durys, kodinė laiptinės spyna","Nuomojamas 2 k. butas su nuosava stovėjimo vieta automobiliui.Buto plotas - 46 m2Svetainė sujungta su virtuve - 27 m2Miegamasis – 12 m2Vonios kambarys –  6 m2Šildymas: centrinis autonominis, reguliuojamas.Už šildymą šalčiausią mėnesį iki 20 eurų.YPATUMAI- Virtuvėje sumontuoti baldai pagal užsakymą.- Įmontuota buitinė technika – šaldytuvas, kaitlen?ė, orkaitė, indaplovė.- Dvi didelės sieninės spintos.- Erdvus vonios kambarys, skalbimo mašina, termostatinis dušas, sensorinis čiaupas.- Gera garso ir šilumos izoliacija.KITI YPATUMAI- Nuosava automobilio vieta po langais.- Dideli langai, ne į gatvės pusę.- Butas labai šiltas, nekampinis, pietryčių pusė.- Tvarkinga laiptinė, „SCHINDLER“ liftas, domofonas.- Yra namo bendrija ir aktyvi bendruomenė.- Iki autobuso stotelės 2 min. kelio pėsčiomis (4G, 30, 32, 54, 63, 75).- 5km iki centro / šalia vakarinis aplinkelis.- Šalia namo erdvi vaikų žaidimo aikštelė.- Netoli darželiai, mokyklos, parduotuvės, gydymo įstaiga, verslo centrai.",http://www.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-algimanto-petro-kavoliuko-g-nuomojamas-2-k-butas-su-nuosava-stovejimo-4-839055/,Vilnius
